review_id,user_id,review_text
1,U101,"I bought Laptop A and Phone X. Laptop A battery is terrible."
2,U102,"Phone X performance is slow but camera is good."
3,U103,"Laptop A overheats after 30 minutes of use."
4,U104,"Tablet Z screen resolution is amazing and very sharp."
5,U105,"Laptop A keyboard stopped working within a week."
6,U101,"Phone X battery drains too fast and heats up."
7,U106,"Tablet Z is lightweight and easy to carry."
8,U107,"Laptop A performance is extremely slow while gaming."
9,U108,"Phone X camera quality is excellent but battery life is poor."
10,U109,"Laptop A makes loud fan noise and gets very hot."
11,U110,"Tablet Z charging port is loose and unreliable."
12,U102,"Phone X screen flickers occasionally."
13,U103,"Laptop A battery backup improved after update."
14,U111,"Laptop A touchpad is unresponsive sometimes."
15,U112,"Phone X speaker volume is too low."
16,U113,"Tablet Z battery drains overnight."
17,U114,"Laptop A works perfectly for office tasks."
18,U115,"Phone X freezes randomly during calls."
19,U116,"Laptop A screen brightness fluctuates."
20,U117,"Tablet Z performance is smooth and fast."